time,instrument,granularity,open,high,low,close,volume,bid_open,bid_high,bid_low,bid_close,ask_open,ask_high,ask_low,ask_close,spread,collected_at,mid,best_bid,best_ask,ret_1,ret_5,ret_10,roll_vol_20,roll_vol_50,roll_mean_20,zscore_20,ewma_short,ewma_long,ewma_signal,spread_pct,spread_zscore,hl_range,hl_range_pct,high_vol_regime,momentum_5,momentum_20,y_1h,y_6h,y_24h,y_direction,y
2025-01-01 22:00:00+00:00,USD_SGD,H1,1.36541,1.36576,1.36541,1.36576,2,1.36507,1.36507,1.36401,1.36401,1.36575,1.36751,1.36575,1.36751,0.0035,2025-10-01T18:21:24.574523Z,1.36576,1.36401,1.36751,,,,,,,,1.36576,1.36576,0.0,0.0025626757263355,,0.00035,0.0002562675726336,False,,,-0.0001903701968135,-0.0038147258669166,0.0029580599812557,0,0
2025-01-01 23:00:00+00:00,USD_SGD,H1,1.36574,1.36608,1.36548,1.3655,927,1.36399,1.36599,1.36399,1.36536,1.36748,1.36748,1.3656,1.36563,0.0002699999999999,2025-10-01T18:21:24.574559Z,1.365495,1.36536,1.36563,-0.0001940311621367,,,,,,,1.365601,1.365620875,-1.987500000000253e-05,0.0001977304933375,,0.0005999999999999,0.0004394010963056,False,,,-0.0005272793848405,-0.0031783229586231,0.0030025631636763,0,0
2025-01-02 00:00:00+00:00,USD_SGD,H1,1.36552,1.36572,1.36409,1.36478,2350,1.36537,1.36563,1.36399,1.3647,1.36567,1.36587,1.36419,1.36487,0.00017,2025-10-01T18:21:24.574573Z,1.364785,1.3647,1.36487,-0.0005199579639617,,,,,,,1.3652144736842102,1.3653139467110742,-9.947302686397208e-05,0.0001245617441575,,0.00163,0.0011943273116278,False,,,-0.0008719354035082,-0.0027989859171442,0.0020735942789313,0,0
2025-01-02 01:00:00+00:00,USD_SGD,H1,1.36478,1.36566,1.36328,1.36359,4843,1.36469,1.36556,1.36319,1.36349,1.36487,1.36576,1.36338,1.36369,0.0001999999999999,2025-10-01T18:21:24.574583Z,1.36359,1.36349,1.36369,-0.0008755957898128,,,,,,,1.364539692307692,1.3648162699501247,-0.0002765776424327,0.0001466716535028,,0.00238,0.0017453926766843,False,,,-0.0016207217712068,-0.001474050117704,0.002955433818083,0,0
2025-01-02 02:00:00+00:00,USD_SGD,H1,1.36358,1.36391,1.36116,1.36138,2653,1.36349,1.36382,1.36106,1.36129,1.36368,1.364,1.36124,1.36148,0.0001900000000001,2025-10-01T18:21:24.574592Z,1.3613849999999998,1.36129,1.36148,-0.0016170549798695,,,,,1.3642029999999998,,1.3633286492890992,1.3639862749486629,-0.0006576256595636,0.0001395637530897,,0.00275,0.0020200016894559,False,,,-0.0007786216926942,0.0005141841366846,0.0048186399095035,0,0
2025-01-02 03:00:00+00:00,USD_SGD,H1,1.36139,1.36147,1.36023,1.36032,1446,1.36129,1.36138,1.36014,1.36024,1.36149,1.36156,1.36031,1.36041,0.00017,2025-10-01T18:21:24.574600Z,1.360325,1.36024,1.36041,-0.0007786188330265,-0.0039794693064666,,0.0005289917370013,,1.3635566666666663,-6.109106136488755,1.3622310751879698,1.363213913172026,-0.0009828379840561,0.0001249701358131,,0.0012399999999999,0.0009115468729898,False,-0.0054349999999998,,0.0001690778640319,0.0013599741237357,0.0062044224888262,1,1
2025-01-02 04:00:00+00:00,USD_SGD,H1,1.36033,1.36135,1.36012,1.36055,1539,1.36025,1.36126,1.36004,1.36046,1.36041,1.36145,1.36021,1.36064,0.00018,2025-10-01T18:21:24.574608Z,1.36055,1.36046,1.36064,0.0001654016503409,-0.0036213973687198,,0.0006150218664384,,1.3631271428571428,-4.190327202619736,1.3616358814958718,1.362710233127869,-0.0010743516319975,0.0001322994377274,,0.00123,0.0009040461578038,False,-0.0049449999999999,,0.0004483480945205,0.0030428870677299,0.0064753224798794,1,1
2025-01-02 05:00:00+00:00,USD_SGD,H1,1.36054,1.36129,1.3604,1.36116,1721,1.36046,1.3612,1.36028,1.36107,1.36063,1.36139,1.3605,1.36125,0.00018,2025-10-01T18:21:24.574617Z,1.36116,1.36107,1.36125,0.0004483480945205,-0.0026560960151232,,0.0006952568627481,,1.36288125,-2.4757037178987304,1.3614708136399682,1.3624422675421213,-0.000971453902153,0.000132240148109,,0.0008899999999998,0.0006538540656497,False,-0.0036249999999999,,-0.0001469334978988,0.0026741896617592,0.0064356872079698,0,0
2025-01-02 06:00:00+00:00,USD_SGD,H1,1.36117,1.36156,1.36083,1.36096,1854,1.36107,1.36147,1.36072,1.36086,1.36127,1.36166,1.36094,1.36105,0.0001900000000001,2025-10-01T18:21:24.574625Z,1.360955,1.36086,1.36105,-0.0001506068353461,-0.0019323990349005,,0.0006542367544873,,1.362667222222222,-2.617129365597219,1.3612942838140942,1.3622037025559814,-0.0009094187418872,0.0001396078489003,,0.0007300000000001,0.0005363880510377,False,-0.0026349999999999,,0.0004555607806255,0.0031301434281685,0.0055989889489771,1,1
2025-01-02 07:00:00+00:00,USD_SGD,H1,1.36098,1.36169,1.36051,1.36158,3741,1.36088,1.36159,1.36041,1.36149,1.36108,1.36179,1.36061,1.36167,0.0001799999999998,2025-10-01T18:21:24.574633Z,1.36158,1.36149,1.36167,0.0004592363450663,0.0001432364834341,,0.0006814856614331,,1.3625585,-1.4358335844400183,1.3613912032744508,1.3621097783553298,-0.0007185750808789,0.0001321993566296,,0.0011799999999999,0.0008666402267953,False,0.0001950000000001,,0.0003672204350826,0.0028496305762422,0.0062500918051087,1,1
2025-01-02 08:00:00+00:00,USD_SGD,H1,1.36155,1.36323,1.36128,1.36208,5568,1.36145,1.36314,1.36119,1.36198,1.36165,1.36333,1.36136,1.36218,0.0001999999999999,2025-10-01T18:21:24.574641Z,1.36208,1.36198,1.36218,0.0003672204350826,0.0012901328726591,-0.0026944704779755,0.0006803539683347,0.0006803539683347,1.362515,-0.6393730620322344,1.361623487627,1.3621055291976842,-0.0004820415706843,0.0001468342534946,,0.0019499999999998,0.0014316339715728,False,0.0017549999999999,,6.607541407266382e-05,0.002907318219194,0.0074885469282273,1,1
